species	tissue	count	Count.over.25nt	Genome.Mb	Rsquared
human	brain	25731998	10033295	3099	0.76
human	cerebellum	25096969	4974704	3099	0.62
human	heart	25173422	1594081	3099	0.33
human	kidney	26787959	5968461	3099	0.4
mouse	brain	30427250	3263676	2728	0.52
mouse	cerebellum	31819546	2466669	2728	0.53
mouse	heart	40424132	3082886	2728	0.69
mouse	kidney	26700723	1925227	2728	0.48
mouse	testis	31568655	23237303	2728	0.41
chicken	brain	25630579	551550	1230	0.56
chicken	cerebellum	23754727	477534	1230	0.45
chicken	heart	34748900	3315663	1230	0.71
chicken	testis	34200789	18795750	1230	0.29
